,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
67,0 days 01:07:21.111000,31.5,74.0,1009.9,False,37.3,203,0.4
69,0 days 01:09:21.110000,31.5,74.0,1009.9,False,37.3,144,0.6
72,0 days 01:12:21.108000,31.5,75.0,1009.9,False,37.3,112,0.6
74,0 days 01:14:21.122000,31.5,75.0,1009.9,False,36.8,156,0.6
75,0 days 01:15:21.122000,31.5,75.0,1009.7,False,37.2,178,0.6
77,0 days 01:17:21.120000,31.4,74.0,1010.0,False,37.2,204,0.6
78,0 days 01:18:21.120000,31.5,75.0,1010.0,False,36.8,168,0.8
80,0 days 01:20:21.118000,31.4,75.0,1009.9,False,36.7,188,0.5
81,0 days 01:21:21.118000,31.5,76.0,1009.9,False,36.9,146,1.2
83,0 days 01:23:21.117000,31.4,76.0,1010.0,False,36.9,167,1.2
85,0 days 01:25:21.146000,31.4,76.0,1009.7,False,37.3,138,1.7
86,0 days 01:26:21.114000,31.5,76.0,1009.9,False,37.0,144,0.6
87,0 days 01:27:21.145000,31.5,76.0,1009.7,False,36.8,156,0.6
89,0 days 01:29:21.144000,31.4,76.0,1009.9,False,36.7,160,0.8
90,0 days 01:30:21.159000,31.4,77.0,1010.0,False,36.9,157,1.2
92,0 days 01:32:21.189000,31.4,76.0,1009.9,False,36.4,220,0.8
93,0 days 01:33:21.204000,31.3,76.0,1010.0,False,36.8,0,0.3
95,0 days 01:35:21.218000,31.3,76.0,1009.9,False,36.8,193,0.6
96,0 days 01:36:21.233000,31.3,76.0,1009.9,False,36.7,134,1.2
98,0 days 01:38:21.232000,31.2,75.0,1009.9,False,36.5,161,0.5
99,0 days 01:39:21.231000,31.2,75.0,1009.9,False,36.5,175,1.2
101,0 days 01:41:21.230000,31.2,75.0,1009.9,False,36.7,133,0.8
102,0 days 01:42:21.244000,31.2,75.0,1009.7,False,36.7,173,0.6
104,0 days 01:44:21.259000,31.2,75.0,1009.9,False,36.5,168,1.5
106,0 days 01:46:21.257000,31.3,74.0,1009.7,False,36.8,212,1.0
107,0 days 01:47:21.257000,31.3,73.0,1009.9,False,36.8,132,0.8
109,0 days 01:49:21.255000,31.3,72.0,1009.9,False,36.9,131,1.0
110,0 days 01:50:21.255000,31.3,71.0,1009.7,False,36.9,175,1.2
112,0 days 01:52:21.253000,31.4,71.0,1009.9,False,37.2,200,0.5
113,0 days 01:53:21.253000,31.4,72.0,1009.7,False,37.2,172,0.5
115,0 days 01:55:21.251000,31.3,73.0,1009.9,False,36.6,0,1.2
116,0 days 01:56:21.266000,31.4,73.0,1009.7,False,36.6,273,0.6
118,0 days 01:58:21.265000,31.3,74.0,1009.9,False,36.3,162,1.7
119,0 days 01:59:21.280000,31.3,74.0,1009.7,False,36.3,182,0.6
120,0 days 02:00:21.264000,31.2,75.0,1009.7,False,36.1,158,0.6
122,0 days 02:02:21.278000,31.2,74.0,1009.9,False,36.2,152,0.6
123,0 days 02:03:21.308000,31.2,74.0,1009.9,False,36.3,132,0.8
125,0 days 02:05:21.307000,31.2,74.0,1009.9,False,36.1,137,1.1
126,0 days 02:06:21.322000,31.2,74.0,1009.9,False,36.1,137,0.8
128,0 days 02:08:21.321000,31.2,75.0,1009.9,False,36.0,145,0.5
129,0 days 02:09:21.320000,31.2,75.0,1009.9,False,35.6,134,1.0
131,0 days 02:11:21.334000,31.1,76.0,1009.9,False,35.6,148,0.0
133,0 days 02:13:21.364000,31.1,76.0,1009.9,False,35.5,142,1.0
134,0 days 02:14:21.363000,31.0,76.0,1009.9,False,35.5,80,1.3
135,0 days 02:15:21.378000,31.1,75.0,1009.7,False,36.1,183,0.5
137,0 days 02:17:21.393000,31.1,75.0,1009.9,False,36.4,139,0.8
138,0 days 02:18:21.392000,31.1,75.0,1009.9,False,36.4,182,1.2
140,0 days 02:20:21.406000,31.0,74.0,1009.7,False,36.3,136,0.8
141,0 days 02:21:21.405000,31.0,74.0,1009.9,False,36.3,132,1.3
143,0 days 02:23:21.404000,31.0,74.0,1009.9,False,36.3,163,0.0
144,0 days 02:24:21.403000,31.0,74.0,1009.9,False,36.3,166,1.1
146,0 days 02:26:21.402000,31.0,75.0,1009.7,False,35.7,84,0.8
147,0 days 02:27:21.401000,30.9,74.0,1009.9,False,35.4,143,0.0
148,0 days 02:28:21.401000,30.9,76.0,1009.7,False,35.5,155,0.8
150,0 days 02:30:21.399000,30.9,75.0,1009.9,False,35.6,102,0.6
63,0 days 01:03:21.099000,31.5,73.0,1009.9,False,37.2,0,0.8
65,0 days 01:05:21.097000,31.5,73.0,1009.9,False,37.4,269,0.4
67,0 days 01:07:21.111000,31.5,74.0,1009.9,False,37.3,203,0.4
70,0 days 01:10:21.110000,31.5,74.0,1009.9,False,37.3,190,0.6
72,0 days 01:12:21.108000,31.5,75.0,1009.9,False,37.3,112,0.6
74,0 days 01:14:21.122000,31.5,75.0,1009.9,False,36.8,156,0.6
75,0 days 01:15:21.122000,31.5,75.0,1009.7,False,37.2,178,0.6
77,0 days 01:17:21.120000,31.4,74.0,1010.0,False,37.2,204,0.6
78,0 days 01:18:21.120000,31.5,75.0,1010.0,False,36.8,168,0.8
80,0 days 01:20:21.118000,31.4,75.0,1009.9,False,36.7,188,0.5
81,0 days 01:21:21.118000,31.5,76.0,1009.9,False,36.9,146,1.2
83,0 days 01:23:21.117000,31.4,76.0,1010.0,False,36.9,167,1.2
84,0 days 01:24:21.131000,31.5,76.0,1009.9,False,36.9,157,0.8
86,0 days 01:26:21.114000,31.5,76.0,1009.9,False,37.0,144,0.6
87,0 days 01:27:21.145000,31.5,76.0,1009.7,False,36.8,156,0.6
89,0 days 01:29:21.144000,31.4,76.0,1009.9,False,36.7,160,0.8
90,0 days 01:30:21.159000,31.4,77.0,1010.0,False,36.9,157,1.2
92,0 days 01:32:21.189000,31.4,76.0,1009.9,False,36.4,220,0.8
93,0 days 01:33:21.204000,31.3,76.0,1010.0,False,36.8,0,0.3
95,0 days 01:35:21.218000,31.3,76.0,1009.9,False,36.8,193,0.6
96,0 days 01:36:21.233000,31.3,76.0,1009.9,False,36.7,134,1.2
98,0 days 01:38:21.232000,31.2,75.0,1009.9,False,36.5,161,0.5
100,0 days 01:40:21.246000,31.2,75.0,1009.7,False,36.7,152,1.1
101,0 days 01:41:21.230000,31.2,75.0,1009.9,False,36.7,133,0.8
103,0 days 01:43:21.259000,31.3,75.0,1009.9,False,36.5,180,1.0
104,0 days 01:44:21.259000,31.2,75.0,1009.9,False,36.5,168,1.5
106,0 days 01:46:21.257000,31.3,74.0,1009.7,False,36.8,212,1.0
107,0 days 01:47:21.257000,31.3,73.0,1009.9,False,36.8,132,0.8
109,0 days 01:49:21.255000,31.3,72.0,1009.9,False,36.9,131,1.0
110,0 days 01:50:21.255000,31.3,71.0,1009.7,False,36.9,175,1.2
112,0 days 01:52:21.253000,31.4,71.0,1009.9,False,37.2,200,0.5
113,0 days 01:53:21.253000,31.4,72.0,1009.7,False,37.2,172,0.5
115,0 days 01:55:21.251000,31.3,73.0,1009.9,False,36.6,0,1.2
116,0 days 01:56:21.266000,31.4,73.0,1009.7,False,36.6,273,0.6
117,0 days 01:57:21.266000,31.3,74.0,1009.7,False,36.3,172,0.8
119,0 days 01:59:21.280000,31.3,74.0,1009.7,False,36.3,182,0.6
120,0 days 02:00:21.264000,31.2,75.0,1009.7,False,36.1,158,0.6
122,0 days 02:02:21.278000,31.2,74.0,1009.9,False,36.2,152,0.6
123,0 days 02:03:21.308000,31.2,74.0,1009.9,False,36.3,132,0.8
125,0 days 02:05:21.307000,31.2,74.0,1009.9,False,36.1,137,1.1
127,0 days 02:07:21.321000,31.2,74.0,1009.9,False,36.1,195,0.6
128,0 days 02:08:21.321000,31.2,75.0,1009.9,False,36.0,145,0.5
130,0 days 02:10:21.335000,31.1,76.0,1009.9,False,35.6,0,0.6
131,0 days 02:11:21.334000,31.1,76.0,1009.9,False,35.6,148,0.0
133,0 days 02:13:21.364000,31.1,76.0,1009.9,False,35.5,142,1.0
134,0 days 02:14:21.363000,31.0,76.0,1009.9,False,35.5,80,1.3
136,0 days 02:16:21.378000,31.0,75.0,1009.9,False,36.5,161,1.3
137,0 days 02:17:21.393000,31.1,75.0,1009.9,False,36.4,139,0.8
138,0 days 02:18:21.392000,31.1,75.0,1009.9,False,36.4,182,1.2
140,0 days 02:20:21.406000,31.0,74.0,1009.7,False,36.3,136,0.8
141,0 days 02:21:21.405000,31.0,74.0,1009.9,False,36.3,132,1.3
143,0 days 02:23:21.404000,31.0,74.0,1009.9,False,36.3,163,0.0
144,0 days 02:24:21.403000,31.0,74.0,1009.9,False,36.3,166,1.1
146,0 days 02:26:21.402000,31.0,75.0,1009.7,False,35.7,84,0.8
147,0 days 02:27:21.401000,30.9,74.0,1009.9,False,35.4,143,0.0
149,0 days 02:29:21.400000,30.9,76.0,1009.7,False,35.6,50,0.6
150,0 days 02:30:21.399000,30.9,75.0,1009.9,False,35.6,102,0.6
63,0 days 01:03:21.099000,31.5,73.0,1009.9,False,37.2,0,0.8
65,0 days 01:05:21.097000,31.5,73.0,1009.9,False,37.4,269,0.4
67,0 days 01:07:21.111000,31.5,74.0,1009.9,False,37.3,203,0.4
70,0 days 01:10:21.110000,31.5,74.0,1009.9,False,37.3,190,0.6
72,0 days 01:12:21.108000,31.5,75.0,1009.9,False,37.3,112,0.6
74,0 days 01:14:21.122000,31.5,75.0,1009.9,False,36.8,156,0.6
75,0 days 01:15:21.122000,31.5,75.0,1009.7,False,37.2,178,0.6
77,0 days 01:17:21.120000,31.4,74.0,1010.0,False,37.2,204,0.6
78,0 days 01:18:21.120000,31.5,75.0,1010.0,False,36.8,168,0.8
80,0 days 01:20:21.118000,31.4,75.0,1009.9,False,36.7,188,0.5
81,0 days 01:21:21.118000,31.5,76.0,1009.9,False,36.9,146,1.2
83,0 days 01:23:21.117000,31.4,76.0,1010.0,False,36.9,167,1.2
84,0 days 01:24:21.131000,31.5,76.0,1009.9,False,36.9,157,0.8
86,0 days 01:26:21.114000,31.5,76.0,1009.9,False,37.0,144,0.6
87,0 days 01:27:21.145000,31.5,76.0,1009.7,False,36.8,156,0.6
89,0 days 01:29:21.144000,31.4,76.0,1009.9,False,36.7,160,0.8
90,0 days 01:30:21.159000,31.4,77.0,1010.0,False,36.9,157,1.2
92,0 days 01:32:21.189000,31.4,76.0,1009.9,False,36.4,220,0.8
93,0 days 01:33:21.204000,31.3,76.0,1010.0,False,36.8,0,0.3
95,0 days 01:35:21.218000,31.3,76.0,1009.9,False,36.8,193,0.6
97,0 days 01:37:21.232000,31.3,75.0,1009.7,False,36.9,188,0.8
98,0 days 01:38:21.232000,31.2,75.0,1009.9,False,36.5,161,0.5
100,0 days 01:40:21.246000,31.2,75.0,1009.7,False,36.7,152,1.1
101,0 days 01:41:21.230000,31.2,75.0,1009.9,False,36.7,133,0.8
103,0 days 01:43:21.259000,31.3,75.0,1009.9,False,36.5,180,1.0
104,0 days 01:44:21.259000,31.2,75.0,1009.9,False,36.5,168,1.5
106,0 days 01:46:21.257000,31.3,74.0,1009.7,False,36.8,212,1.0
107,0 days 01:47:21.257000,31.3,73.0,1009.9,False,36.8,132,0.8
109,0 days 01:49:21.255000,31.3,72.0,1009.9,False,36.9,131,1.0
110,0 days 01:50:21.255000,31.3,71.0,1009.7,False,36.9,175,1.2
111,0 days 01:51:21.254000,31.4,71.0,1009.9,False,37.2,0,1.3
113,0 days 01:53:21.253000,31.4,72.0,1009.7,False,37.2,172,0.5
114,0 days 01:54:21.252000,31.4,73.0,1009.9,False,36.5,174,1.2
116,0 days 01:56:21.266000,31.4,73.0,1009.7,False,36.6,273,0.6
117,0 days 01:57:21.266000,31.3,74.0,1009.7,False,36.3,172,0.8
119,0 days 01:59:21.280000,31.3,74.0,1009.7,False,36.3,182,0.6
121,0 days 02:01:21.263000,31.1,74.0,1009.7,False,36.1,203,1.5
122,0 days 02:02:21.278000,31.2,74.0,1009.9,False,36.2,152,0.6
124,0 days 02:04:21.323000,31.3,74.0,1009.9,False,36.2,169,0.8
125,0 days 02:05:21.307000,31.2,74.0,1009.9,False,36.1,137,1.1
127,0 days 02:07:21.321000,31.2,74.0,1009.9,False,36.1,195,0.6
128,0 days 02:08:21.321000,31.2,75.0,1009.9,False,36.0,145,0.5
130,0 days 02:10:21.335000,31.1,76.0,1009.9,False,35.6,0,0.6
131,0 days 02:11:21.334000,31.1,76.0,1009.9,False,35.6,148,0.0
132,0 days 02:12:21.349000,31.1,76.0,1009.9,False,35.8,193,0.6
134,0 days 02:14:21.363000,31.0,76.0,1009.9,False,35.5,80,1.3
135,0 days 02:15:21.378000,31.1,75.0,1009.7,False,36.1,183,0.5
137,0 days 02:17:21.393000,31.1,75.0,1009.9,False,36.4,139,0.8
138,0 days 02:18:21.392000,31.1,75.0,1009.9,False,36.4,182,1.2
140,0 days 02:20:21.406000,31.0,74.0,1009.7,False,36.3,136,0.8
141,0 days 02:21:21.405000,31.0,74.0,1009.9,False,36.3,132,1.3
143,0 days 02:23:21.404000,31.0,74.0,1009.9,False,36.3,163,0.0
144,0 days 02:24:21.403000,31.0,74.0,1009.9,False,36.3,166,1.1
146,0 days 02:26:21.402000,31.0,75.0,1009.7,False,35.7,84,0.8
147,0 days 02:27:21.401000,30.9,74.0,1009.9,False,35.4,143,0.0
149,0 days 02:29:21.400000,30.9,76.0,1009.7,False,35.6,50,0.6
150,0 days 02:30:21.399000,30.9,75.0,1009.9,False,35.6,102,0.6
63,0 days 01:03:21.099000,31.5,73.0,1009.9,False,37.2,0,0.8
65,0 days 01:05:21.097000,31.5,73.0,1009.9,False,37.4,269,0.4
67,0 days 01:07:21.111000,31.5,74.0,1009.9,False,37.3,203,0.4
70,0 days 01:10:21.110000,31.5,74.0,1009.9,False,37.3,190,0.6
72,0 days 01:12:21.108000,31.5,75.0,1009.9,False,37.3,112,0.6
74,0 days 01:14:21.122000,31.5,75.0,1009.9,False,36.8,156,0.6
75,0 days 01:15:21.122000,31.5,75.0,1009.7,False,37.2,178,0.6
77,0 days 01:17:21.120000,31.4,74.0,1010.0,False,37.2,204,0.6
78,0 days 01:18:21.120000,31.5,75.0,1010.0,False,36.8,168,0.8
80,0 days 01:20:21.118000,31.4,75.0,1009.9,False,36.7,188,0.5
81,0 days 01:21:21.118000,31.5,76.0,1009.9,False,36.9,146,1.2
83,0 days 01:23:21.117000,31.4,76.0,1010.0,False,36.9,167,1.2
84,0 days 01:24:21.131000,31.5,76.0,1009.9,False,36.9,157,0.8
86,0 days 01:26:21.114000,31.5,76.0,1009.9,False,37.0,144,0.6
87,0 days 01:27:21.145000,31.5,76.0,1009.7,False,36.8,156,0.6
89,0 days 01:29:21.144000,31.4,76.0,1009.9,False,36.7,160,0.8
90,0 days 01:30:21.159000,31.4,77.0,1010.0,False,36.9,157,1.2
92,0 days 01:32:21.189000,31.4,76.0,1009.9,False,36.4,220,0.8
94,0 days 01:34:21.219000,31.3,76.0,1009.9,False,36.8,204,0.6
95,0 days 01:35:21.218000,31.3,76.0,1009.9,False,36.8,193,0.6
97,0 days 01:37:21.232000,31.3,75.0,1009.7,False,36.9,188,0.8
98,0 days 01:38:21.232000,31.2,75.0,1009.9,False,36.5,161,0.5
100,0 days 01:40:21.246000,31.2,75.0,1009.7,False,36.7,152,1.1
101,0 days 01:41:21.230000,31.2,75.0,1009.9,False,36.7,133,0.8
102,0 days 01:42:21.244000,31.2,75.0,1009.7,False,36.7,173,0.6
104,0 days 01:44:21.259000,31.2,75.0,1009.9,False,36.5,168,1.5
105,0 days 01:45:21.258000,31.3,74.0,1009.7,False,37.1,187,1.0
107,0 days 01:47:21.257000,31.3,73.0,1009.9,False,36.8,132,0.8
108,0 days 01:48:21.256000,31.3,72.0,1009.7,False,37.1,213,1.2
110,0 days 01:50:21.255000,31.3,71.0,1009.7,False,36.9,175,1.2
111,0 days 01:51:21.254000,31.4,71.0,1009.9,False,37.2,0,1.3
113,0 days 01:53:21.253000,31.4,72.0,1009.7,False,37.2,172,0.5
115,0 days 01:55:21.251000,31.3,73.0,1009.9,False,36.6,0,1.2
116,0 days 01:56:21.266000,31.4,73.0,1009.7,False,36.6,273,0.6
118,0 days 01:58:21.265000,31.3,74.0,1009.9,False,36.3,162,1.7
119,0 days 01:59:21.280000,31.3,74.0,1009.7,False,36.3,182,0.6
121,0 days 02:01:21.263000,31.1,74.0,1009.7,False,36.1,203,1.5
122,0 days 02:02:21.278000,31.2,74.0,1009.9,False,36.2,152,0.6
123,0 days 02:03:21.308000,31.2,74.0,1009.9,False,36.3,132,0.8
125,0 days 02:05:21.307000,31.2,74.0,1009.9,False,36.1,137,1.1
126,0 days 02:06:21.322000,31.2,74.0,1009.9,False,36.1,137,0.8
128,0 days 02:08:21.321000,31.2,75.0,1009.9,False,36.0,145,0.5
129,0 days 02:09:21.320000,31.2,75.0,1009.9,False,35.6,134,1.0
131,0 days 02:11:21.334000,31.1,76.0,1009.9,False,35.6,148,0.0
133,0 days 02:13:21.364000,31.1,76.0,1009.9,False,35.5,142,1.0
134,0 days 02:14:21.363000,31.0,76.0,1009.9,False,35.5,80,1.3
136,0 days 02:16:21.378000,31.0,75.0,1009.9,False,36.5,161,1.3
137,0 days 02:17:21.393000,31.1,75.0,1009.9,False,36.4,139,0.8
139,0 days 02:19:21.407000,31.0,74.0,1009.9,False,35.9,0,1.3
140,0 days 02:20:21.406000,31.0,74.0,1009.7,False,36.3,136,0.8
141,0 days 02:21:21.405000,31.0,74.0,1009.9,False,36.3,132,1.3
143,0 days 02:23:21.404000,31.0,74.0,1009.9,False,36.3,163,0.0
144,0 days 02:24:21.403000,31.0,74.0,1009.9,False,36.3,166,1.1
146,0 days 02:26:21.402000,31.0,75.0,1009.7,False,35.7,84,0.8
147,0 days 02:27:21.401000,30.9,74.0,1009.9,False,35.4,143,0.0
149,0 days 02:29:21.400000,30.9,76.0,1009.7,False,35.6,50,0.6
150,0 days 02:30:21.399000,30.9,75.0,1009.9,False,35.6,102,0.6
63,0 days 01:03:21.099000,31.5,73.0,1009.9,False,37.2,0,0.8
65,0 days 01:05:21.097000,31.5,73.0,1009.9,False,37.4,269,0.4
67,0 days 01:07:21.111000,31.5,74.0,1009.9,False,37.3,203,0.4
70,0 days 01:10:21.110000,31.5,74.0,1009.9,False,37.3,190,0.6
72,0 days 01:12:21.108000,31.5,75.0,1009.9,False,37.3,112,0.6
74,0 days 01:14:21.122000,31.5,75.0,1009.9,False,36.8,156,0.6
75,0 days 01:15:21.122000,31.5,75.0,1009.7,False,37.2,178,0.6
77,0 days 01:17:21.120000,31.4,74.0,1010.0,False,37.2,204,0.6
78,0 days 01:18:21.120000,31.5,75.0,1010.0,False,36.8,168,0.8
80,0 days 01:20:21.118000,31.4,75.0,1009.9,False,36.7,188,0.5
81,0 days 01:21:21.118000,31.5,76.0,1009.9,False,36.9,146,1.2
83,0 days 01:23:21.117000,31.4,76.0,1010.0,False,36.9,167,1.2
84,0 days 01:24:21.131000,31.5,76.0,1009.9,False,36.9,157,0.8
86,0 days 01:26:21.114000,31.5,76.0,1009.9,False,37.0,144,0.6
87,0 days 01:27:21.145000,31.5,76.0,1009.7,False,36.8,156,0.6
89,0 days 01:29:21.144000,31.4,76.0,1009.9,False,36.7,160,0.8
90,0 days 01:30:21.159000,31.4,77.0,1010.0,False,36.9,157,1.2
92,0 days 01:32:21.189000,31.4,76.0,1009.9,False,36.4,220,0.8
93,0 days 01:33:21.204000,31.3,76.0,1010.0,False,36.8,0,0.3
95,0 days 01:35:21.218000,31.3,76.0,1009.9,False,36.8,193,0.6
96,0 days 01:36:21.233000,31.3,76.0,1009.9,False,36.7,134,1.2
98,0 days 01:38:21.232000,31.2,75.0,1009.9,False,36.5,161,0.5
100,0 days 01:40:21.246000,31.2,75.0,1009.7,False,36.7,152,1.1
101,0 days 01:41:21.230000,31.2,75.0,1009.9,False,36.7,133,0.8
103,0 days 01:43:21.259000,31.3,75.0,1009.9,False,36.5,180,1.0
104,0 days 01:44:21.259000,31.2,75.0,1009.9,False,36.5,168,1.5
106,0 days 01:46:21.257000,31.3,74.0,1009.7,False,36.8,212,1.0
107,0 days 01:47:21.257000,31.3,73.0,1009.9,False,36.8,132,0.8
109,0 days 01:49:21.255000,31.3,72.0,1009.9,False,36.9,131,1.0
110,0 days 01:50:21.255000,31.3,71.0,1009.7,False,36.9,175,1.2
112,0 days 01:52:21.253000,31.4,71.0,1009.9,False,37.2,200,0.5
113,0 days 01:53:21.253000,31.4,72.0,1009.7,False,37.2,172,0.5
115,0 days 01:55:21.251000,31.3,73.0,1009.9,False,36.6,0,1.2
116,0 days 01:56:21.266000,31.4,73.0,1009.7,False,36.6,273,0.6
118,0 days 01:58:21.265000,31.3,74.0,1009.9,False,36.3,162,1.7
119,0 days 01:59:21.280000,31.3,74.0,1009.7,False,36.3,182,0.6
120,0 days 02:00:21.264000,31.2,75.0,1009.7,False,36.1,158,0.6
122,0 days 02:02:21.278000,31.2,74.0,1009.9,False,36.2,152,0.6
123,0 days 02:03:21.308000,31.2,74.0,1009.9,False,36.3,132,0.8
125,0 days 02:05:21.307000,31.2,74.0,1009.9,False,36.1,137,1.1
127,0 days 02:07:21.321000,31.2,74.0,1009.9,False,36.1,195,0.6
128,0 days 02:08:21.321000,31.2,75.0,1009.9,False,36.0,145,0.5
130,0 days 02:10:21.335000,31.1,76.0,1009.9,False,35.6,0,0.6
131,0 days 02:11:21.334000,31.1,76.0,1009.9,False,35.6,148,0.0
133,0 days 02:13:21.364000,31.1,76.0,1009.9,False,35.5,142,1.0
134,0 days 02:14:21.363000,31.0,76.0,1009.9,False,35.5,80,1.3
136,0 days 02:16:21.378000,31.0,75.0,1009.9,False,36.5,161,1.3
137,0 days 02:17:21.393000,31.1,75.0,1009.9,False,36.4,139,0.8
138,0 days 02:18:21.392000,31.1,75.0,1009.9,False,36.4,182,1.2
140,0 days 02:20:21.406000,31.0,74.0,1009.7,False,36.3,136,0.8
141,0 days 02:21:21.405000,31.0,74.0,1009.9,False,36.3,132,1.3
143,0 days 02:23:21.404000,31.0,74.0,1009.9,False,36.3,163,0.0
144,0 days 02:24:21.403000,31.0,74.0,1009.9,False,36.3,166,1.1
146,0 days 02:26:21.402000,31.0,75.0,1009.7,False,35.7,84,0.8
147,0 days 02:27:21.401000,30.9,74.0,1009.9,False,35.4,143,0.0
149,0 days 02:29:21.400000,30.9,76.0,1009.7,False,35.6,50,0.6
150,0 days 02:30:21.399000,30.9,75.0,1009.9,False,35.6,102,0.6
63,0 days 01:03:21.099000,31.5,73.0,1009.9,False,37.2,0,0.8
65,0 days 01:05:21.097000,31.5,73.0,1009.9,False,37.4,269,0.4
67,0 days 01:07:21.111000,31.5,74.0,1009.9,False,37.3,203,0.4
70,0 days 01:10:21.110000,31.5,74.0,1009.9,False,37.3,190,0.6
72,0 days 01:12:21.108000,31.5,75.0,1009.9,False,37.3,112,0.6
74,0 days 01:14:21.122000,31.5,75.0,1009.9,False,36.8,156,0.6
75,0 days 01:15:21.122000,31.5,75.0,1009.7,False,37.2,178,0.6
77,0 days 01:17:21.120000,31.4,74.0,1010.0,False,37.2,204,0.6
78,0 days 01:18:21.120000,31.5,75.0,1010.0,False,36.8,168,0.8
80,0 days 01:20:21.118000,31.4,75.0,1009.9,False,36.7,188,0.5
81,0 days 01:21:21.118000,31.5,76.0,1009.9,False,36.9,146,1.2
83,0 days 01:23:21.117000,31.4,76.0,1010.0,False,36.9,167,1.2
85,0 days 01:25:21.146000,31.4,76.0,1009.7,False,37.3,138,1.7
86,0 days 01:26:21.114000,31.5,76.0,1009.9,False,37.0,144,0.6
88,0 days 01:28:21.129000,31.4,77.0,1010.0,False,36.7,140,1.3
89,0 days 01:29:21.144000,31.4,76.0,1009.9,False,36.7,160,0.8
90,0 days 01:30:21.159000,31.4,77.0,1010.0,False,36.9,157,1.2
92,0 days 01:32:21.189000,31.4,76.0,1009.9,False,36.4,220,0.8
93,0 days 01:33:21.204000,31.3,76.0,1010.0,False,36.8,0,0.3
95,0 days 01:35:21.218000,31.3,76.0,1009.9,False,36.8,193,0.6
96,0 days 01:36:21.233000,31.3,76.0,1009.9,False,36.7,134,1.2
98,0 days 01:38:21.232000,31.2,75.0,1009.9,False,36.5,161,0.5
99,0 days 01:39:21.231000,31.2,75.0,1009.9,False,36.5,175,1.2
101,0 days 01:41:21.230000,31.2,75.0,1009.9,False,36.7,133,0.8
102,0 days 01:42:21.244000,31.2,75.0,1009.7,False,36.7,173,0.6
104,0 days 01:44:21.259000,31.2,75.0,1009.9,False,36.5,168,1.5
105,0 days 01:45:21.258000,31.3,74.0,1009.7,False,37.1,187,1.0
107,0 days 01:47:21.257000,31.3,73.0,1009.9,False,36.8,132,0.8
109,0 days 01:49:21.255000,31.3,72.0,1009.9,False,36.9,131,1.0
110,0 days 01:50:21.255000,31.3,71.0,1009.7,False,36.9,175,1.2
112,0 days 01:52:21.253000,31.4,71.0,1009.9,False,37.2,200,0.5
113,0 days 01:53:21.253000,31.4,72.0,1009.7,False,37.2,172,0.5
115,0 days 01:55:21.251000,31.3,73.0,1009.9,False,36.6,0,1.2
116,0 days 01:56:21.266000,31.4,73.0,1009.7,False,36.6,273,0.6
118,0 days 01:58:21.265000,31.3,74.0,1009.9,False,36.3,162,1.7
119,0 days 01:59:21.280000,31.3,74.0,1009.7,False,36.3,182,0.6
120,0 days 02:00:21.264000,31.2,75.0,1009.7,False,36.1,158,0.6
122,0 days 02:02:21.278000,31.2,74.0,1009.9,False,36.2,152,0.6
123,0 days 02:03:21.308000,31.2,74.0,1009.9,False,36.3,132,0.8
125,0 days 02:05:21.307000,31.2,74.0,1009.9,False,36.1,137,1.1
126,0 days 02:06:21.322000,31.2,74.0,1009.9,False,36.1,137,0.8
128,0 days 02:08:21.321000,31.2,75.0,1009.9,False,36.0,145,0.5
129,0 days 02:09:21.320000,31.2,75.0,1009.9,False,35.6,134,1.0
131,0 days 02:11:21.334000,31.1,76.0,1009.9,False,35.6,148,0.0
132,0 days 02:12:21.349000,31.1,76.0,1009.9,False,35.8,193,0.6
134,0 days 02:14:21.363000,31.0,76.0,1009.9,False,35.5,80,1.3
136,0 days 02:16:21.378000,31.0,75.0,1009.9,False,36.5,161,1.3
137,0 days 02:17:21.393000,31.1,75.0,1009.9,False,36.4,139,0.8
139,0 days 02:19:21.407000,31.0,74.0,1009.9,False,35.9,0,1.3
140,0 days 02:20:21.406000,31.0,74.0,1009.7,False,36.3,136,0.8
141,0 days 02:21:21.405000,31.0,74.0,1009.9,False,36.3,132,1.3
143,0 days 02:23:21.404000,31.0,74.0,1009.9,False,36.3,163,0.0
144,0 days 02:24:21.403000,31.0,74.0,1009.9,False,36.3,166,1.1
146,0 days 02:26:21.402000,31.0,75.0,1009.7,False,35.7,84,0.8
147,0 days 02:27:21.401000,30.9,74.0,1009.9,False,35.4,143,0.0
149,0 days 02:29:21.400000,30.9,76.0,1009.7,False,35.6,50,0.6
150,0 days 02:30:21.399000,30.9,75.0,1009.9,False,35.6,102,0.6
63,0 days 01:03:21.099000,31.5,73.0,1009.9,False,37.2,0,0.8
65,0 days 01:05:21.097000,31.5,73.0,1009.9,False,37.4,269,0.4
67,0 days 01:07:21.111000,31.5,74.0,1009.9,False,37.3,203,0.4
70,0 days 01:10:21.110000,31.5,74.0,1009.9,False,37.3,190,0.6
72,0 days 01:12:21.108000,31.5,75.0,1009.9,False,37.3,112,0.6
74,0 days 01:14:21.122000,31.5,75.0,1009.9,False,36.8,156,0.6
75,0 days 01:15:21.122000,31.5,75.0,1009.7,False,37.2,178,0.6
77,0 days 01:17:21.120000,31.4,74.0,1010.0,False,37.2,204,0.6
