,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
109,0 days 01:49:22.501000,20.3,35.1,945.9,False,36.1,68,2.3
110,0 days 01:50:22.504000,20.2,34.7,945.9,False,36.1,84,1.6
112,0 days 01:52:22.534000,20.4,35.2,945.9,False,36.0,72,2.3
113,0 days 01:53:22.550000,20.2,35.8,945.9,False,36.7,94,2.8
114,0 days 01:54:22.551000,20.4,35.7,945.9,False,36.7,68,1.7
115,0 days 01:55:22.550000,20.6,35.3,945.9,False,36.5,83,2.8
33,0 days 00:33:22.216000,20.6,35.2,945.8,False,39.7,290,1.2
34,0 days 00:34:22.215000,20.4,35.8,945.7,False,39.7,59,2.7
36,0 days 00:36:22.217000,20.7,35.0,945.8,False,41.5,90,3.3
38,0 days 00:38:22.217000,21.0,33.8,945.8,False,41.7,80,2.9
39,0 days 00:39:22.218000,21.0,33.0,945.9,False,41.7,91,2.8
41,0 days 00:41:22.220000,21.0,35.9,945.9,False,42.0,60,2.5
42,0 days 00:42:22.218000,21.0,35.1,945.8,False,41.8,81,2.6
43,0 days 00:43:22.220000,21.2,34.7,945.9,False,42.3,73,3.1
44,0 days 00:44:22.219000,21.1,34.0,945.9,False,42.5,67,3.0
45,0 days 00:45:22.222000,20.8,35.0,946.0,False,42.5,82,2.3
46,0 days 00:46:22.219000,21.0,35.6,946.0,False,41.6,66,2.8
48,0 days 00:48:22.227000,21.0,34.4,945.9,False,42.0,81,2.0
49,0 days 00:49:22.223000,21.2,34.4,946.0,False,42.7,78,1.7
50,0 days 00:50:22.226000,21.3,33.4,946.0,False,42.0,48,2.2
51,0 days 00:51:22.225000,20.9,34.5,946.0,False,42.0,70,3.1
52,0 days 00:52:22.232000,21.0,34.5,945.9,False,43.1,49,2.5
53,0 days 00:53:22.225000,20.8,32.7,946.0,False,43.1,68,2.4
55,0 days 00:55:22.228000,20.8,33.6,946.0,False,43.4,73,2.8
56,0 days 00:56:22.232000,21.1,33.9,946.0,False,43.3,76,1.7
57,0 days 00:57:22.233000,21.3,33.7,945.9,False,42.8,72,1.8
58,0 days 00:58:22.230000,21.5,33.5,946.0,False,42.0,64,1.6
59,0 days 00:59:22.234000,21.6,33.4,945.9,False,42.0,83,2.0
60,0 days 01:00:22.229000,21.8,32.9,945.9,False,42.6,103,1.6
61,0 days 01:01:22.226000,21.9,33.7,945.9,False,43.3,83,1.6
63,0 days 01:03:22.230000,22.0,32.5,946.0,False,43.4,69,1.9
64,0 days 01:04:22.231000,22.0,31.3,945.9,False,43.4,81,2.2
65,0 days 01:05:22.245000,21.8,31.7,945.9,False,43.3,78,1.8
66,0 days 01:06:22.247000,21.7,33.1,945.9,False,43.7,58,1.8
67,0 days 01:07:22.261000,21.7,32.7,945.8,False,43.7,89,1.5
68,0 days 01:08:22.279000,21.7,33.0,945.8,False,43.7,99,1.8
70,0 days 01:10:22.295000,21.6,31.0,945.9,False,42.5,86,3.3
71,0 days 01:11:22.314000,21.1,32.0,945.8,False,42.5,90,3.1
72,0 days 01:12:22.339000,20.7,33.1,945.9,False,41.0,61,2.2
73,0 days 01:13:22.331000,20.8,33.8,945.8,False,40.1,83,3.2
74,0 days 01:14:22.344000,20.6,34.0,945.8,False,39.9,76,2.1
75,0 days 01:15:22.347000,20.9,33.4,945.8,False,39.9,86,2.6
77,0 days 01:17:22.363000,20.8,33.9,945.8,False,39.3,71,2.0
78,0 days 01:18:22.363000,20.9,33.3,945.8,False,39.1,81,1.9
79,0 days 01:19:22.365000,21.1,33.6,945.8,False,38.7,85,1.1
80,0 days 01:20:22.363000,21.0,31.7,945.8,False,38.5,63,2.1
81,0 days 01:21:22.364000,20.8,32.6,945.8,False,38.4,94,3.1
82,0 days 01:22:22.363000,20.5,33.5,945.8,False,38.4,79,2.4
84,0 days 01:24:22.365000,20.9,34.0,945.8,False,40.3,56,0.9
85,0 days 01:25:22.367000,21.0,34.3,945.9,False,40.9,74,2.2
86,0 days 01:26:22.367000,21.2,32.1,945.9,False,41.2,149,3.8
87,0 days 01:27:22.366000,20.9,34.7,945.8,False,41.2,88,2.4
88,0 days 01:28:22.366000,21.2,32.4,945.8,False,41.0,82,4.5
89,0 days 01:29:22.367000,21.3,31.5,945.9,False,41.0,78,3.5
91,0 days 01:31:22.390000,21.0,31.6,945.9,False,39.5,81,3.6
92,0 days 01:32:22.410000,21.0,31.5,945.9,False,39.5,89,4.5
93,0 days 01:33:22.385000,20.6,32.9,945.7,False,38.1,87,4.3
94,0 days 01:34:22.403000,20.6,33.4,945.9,False,38.1,82,3.9
95,0 days 01:35:22.403000,20.8,33.4,945.9,False,37.9,68,4.2
96,0 days 01:36:22.419000,21.0,32.4,945.9,False,37.8,82,3.2
97,0 days 01:37:22.424000,21.2,31.8,945.9,False,37.8,83,3.6
98,0 days 01:38:22.440000,21.3,31.2,945.8,False,37.5,99,3.1
100,0 days 01:40:22.452000,21.0,31.3,945.8,False,37.1,69,2.3
101,0 days 01:41:22.468000,21.1,31.9,945.9,False,37.1,88,2.5
102,0 days 01:42:22.478000,21.1,31.8,945.8,False,37.9,89,3.7
103,0 days 01:43:22.481000,20.9,31.7,945.8,False,37.9,87,2.8
104,0 days 01:44:22.501000,20.9,33.2,945.9,False,37.2,83,3.8
105,0 days 01:45:22.498000,20.7,33.2,945.9,False,37.0,96,3.3
106,0 days 01:46:22.500000,20.4,34.6,945.9,False,36.6,88,1.9
108,0 days 01:48:22.503000,20.4,34.5,946.0,False,36.3,68,2.5
109,0 days 01:49:22.501000,20.3,35.1,945.9,False,36.1,68,2.3
110,0 days 01:50:22.504000,20.2,34.7,945.9,False,36.1,84,1.6
111,0 days 01:51:22.509000,20.3,36.0,946.0,False,36.0,61,2.6
112,0 days 01:52:22.534000,20.4,35.2,945.9,False,36.0,72,2.3
113,0 days 01:53:22.550000,20.2,35.8,945.9,False,36.7,94,2.8
114,0 days 01:54:22.551000,20.4,35.7,945.9,False,36.7,68,1.7
115,0 days 01:55:22.550000,20.6,35.3,945.9,False,36.5,83,2.8
33,0 days 00:33:22.216000,20.6,35.2,945.8,False,39.7,290,1.2
35,0 days 00:35:22.220000,20.6,34.7,945.8,False,41.0,90,2.3
36,0 days 00:36:22.217000,20.7,35.0,945.8,False,41.5,90,3.3
38,0 days 00:38:22.217000,21.0,33.8,945.8,False,41.7,80,2.9
39,0 days 00:39:22.218000,21.0,33.0,945.9,False,41.7,91,2.8
41,0 days 00:41:22.220000,21.0,35.9,945.9,False,42.0,60,2.5
42,0 days 00:42:22.218000,21.0,35.1,945.8,False,41.8,81,2.6
43,0 days 00:43:22.220000,21.2,34.7,945.9,False,42.3,73,3.1
44,0 days 00:44:22.219000,21.1,34.0,945.9,False,42.5,67,3.0
45,0 days 00:45:22.222000,20.8,35.0,946.0,False,42.5,82,2.3
46,0 days 00:46:22.219000,21.0,35.6,946.0,False,41.6,66,2.8
48,0 days 00:48:22.227000,21.0,34.4,945.9,False,42.0,81,2.0
49,0 days 00:49:22.223000,21.2,34.4,946.0,False,42.7,78,1.7
50,0 days 00:50:22.226000,21.3,33.4,946.0,False,42.0,48,2.2
51,0 days 00:51:22.225000,20.9,34.5,946.0,False,42.0,70,3.1
52,0 days 00:52:22.232000,21.0,34.5,945.9,False,43.1,49,2.5
54,0 days 00:54:22.226000,20.9,33.3,945.9,False,43.2,58,2.9
55,0 days 00:55:22.228000,20.8,33.6,946.0,False,43.4,73,2.8
56,0 days 00:56:22.232000,21.1,33.9,946.0,False,43.3,76,1.7
57,0 days 00:57:22.233000,21.3,33.7,945.9,False,42.8,72,1.8
58,0 days 00:58:22.230000,21.5,33.5,946.0,False,42.0,64,1.6
59,0 days 00:59:22.234000,21.6,33.4,945.9,False,42.0,83,2.0
61,0 days 01:01:22.226000,21.9,33.7,945.9,False,43.3,83,1.6
62,0 days 01:02:22.231000,22.1,33.1,945.9,False,43.4,62,2.8
63,0 days 01:03:22.230000,22.0,32.5,946.0,False,43.4,69,1.9
64,0 days 01:04:22.231000,22.0,31.3,945.9,False,43.4,81,2.2
65,0 days 01:05:22.245000,21.8,31.7,945.9,False,43.3,78,1.8
66,0 days 01:06:22.247000,21.7,33.1,945.9,False,43.7,58,1.8
67,0 days 01:07:22.261000,21.7,32.7,945.8,False,43.7,89,1.5
69,0 days 01:09:22.293000,21.6,34.1,945.8,False,43.6,82,2.4
70,0 days 01:10:22.295000,21.6,31.0,945.9,False,42.5,86,3.3
71,0 days 01:11:22.314000,21.1,32.0,945.8,False,42.5,90,3.1
72,0 days 01:12:22.339000,20.7,33.1,945.9,False,41.0,61,2.2
73,0 days 01:13:22.331000,20.8,33.8,945.8,False,40.1,83,3.2
74,0 days 01:14:22.344000,20.6,34.0,945.8,False,39.9,76,2.1
76,0 days 01:16:22.360000,20.8,33.0,945.8,False,39.6,95,2.7
77,0 days 01:17:22.363000,20.8,33.9,945.8,False,39.3,71,2.0
78,0 days 01:18:22.363000,20.9,33.3,945.8,False,39.1,81,1.9
79,0 days 01:19:22.365000,21.1,33.6,945.8,False,38.7,85,1.1
80,0 days 01:20:22.363000,21.0,31.7,945.8,False,38.5,63,2.1
82,0 days 01:22:22.363000,20.5,33.5,945.8,False,38.4,79,2.4
83,0 days 01:23:22.365000,20.6,33.9,945.8,False,39.5,93,1.9
84,0 days 01:24:22.365000,20.9,34.0,945.8,False,40.3,56,0.9
85,0 days 01:25:22.367000,21.0,34.3,945.9,False,40.9,74,2.2
86,0 days 01:26:22.367000,21.2,32.1,945.9,False,41.2,149,3.8
87,0 days 01:27:22.366000,20.9,34.7,945.8,False,41.2,88,2.4
89,0 days 01:29:22.367000,21.3,31.5,945.9,False,41.0,78,3.5
90,0 days 01:30:22.368000,21.3,32.2,945.9,False,40.8,88,4.0
91,0 days 01:31:22.390000,21.0,31.6,945.9,False,39.5,81,3.6
92,0 days 01:32:22.410000,21.0,31.5,945.9,False,39.5,89,4.5
93,0 days 01:33:22.385000,20.6,32.9,945.7,False,38.1,87,4.3
94,0 days 01:34:22.403000,20.6,33.4,945.9,False,38.1,82,3.9
95,0 days 01:35:22.403000,20.8,33.4,945.9,False,37.9,68,4.2
96,0 days 01:36:22.419000,21.0,32.4,945.9,False,37.8,82,3.2
98,0 days 01:38:22.440000,21.3,31.2,945.8,False,37.5,99,3.1
99,0 days 01:39:22.434000,20.9,32.1,945.9,False,37.2,81,3.2
100,0 days 01:40:22.452000,21.0,31.3,945.8,False,37.1,69,2.3
101,0 days 01:41:22.468000,21.1,31.9,945.9,False,37.1,88,2.5
102,0 days 01:42:22.478000,21.1,31.8,945.8,False,37.9,89,3.7
103,0 days 01:43:22.481000,20.9,31.7,945.8,False,37.9,87,2.8
104,0 days 01:44:22.501000,20.9,33.2,945.9,False,37.2,83,3.8
106,0 days 01:46:22.500000,20.4,34.6,945.9,False,36.6,88,1.9
107,0 days 01:47:22.506000,20.5,34.5,946.0,False,36.4,64,2.6
108,0 days 01:48:22.503000,20.4,34.5,946.0,False,36.3,68,2.5
109,0 days 01:49:22.501000,20.3,35.1,945.9,False,36.1,68,2.3
110,0 days 01:50:22.504000,20.2,34.7,945.9,False,36.1,84,1.6
111,0 days 01:51:22.509000,20.3,36.0,946.0,False,36.0,61,2.6
112,0 days 01:52:22.534000,20.4,35.2,945.9,False,36.0,72,2.3
113,0 days 01:53:22.550000,20.2,35.8,945.9,False,36.7,94,2.8
