,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
61,0 days 01:01:18.508000,26.7,63.0,1012.3,False,39.8,219,0.8
63,0 days 01:03:18.497000,26.6,63.0,1012.4,False,39.0,4,0.4
65,0 days 01:05:18.537000,26.4,64.0,1012.5,False,38.5,229,1.3
66,0 days 01:06:18.537000,26.4,64.0,1012.5,False,38.4,0,0.0
68,0 days 01:08:18.546000,26.6,64.0,1012.5,False,38.9,346,0.8
69,0 days 01:09:18.559000,26.6,63.0,1012.6,False,38.9,0,0.7
71,0 days 01:11:18.549000,26.7,62.0,1012.4,False,38.9,302,1.0
72,0 days 01:12:18.545000,26.7,61.0,1012.6,False,39.0,40,1.0
74,0 days 01:14:18.550000,26.6,62.0,1012.6,False,38.5,338,1.3
76,0 days 01:16:18.541000,26.6,62.0,1012.5,False,38.4,356,1.1
77,0 days 01:17:18.569000,26.8,62.0,1012.5,False,38.2,296,0.5
79,0 days 01:19:18.577000,26.6,62.0,1012.4,False,38.1,270,1.4
80,0 days 01:20:18.623000,26.6,63.0,1012.4,False,37.6,235,0.8
82,0 days 01:22:18.622000,26.5,63.0,1012.3,False,37.7,282,0.6
83,0 days 01:23:18.618000,26.6,62.0,1012.5,False,37.7,306,0.6
85,0 days 01:25:18.619000,26.7,63.0,1012.5,False,37.6,247,0.7
86,0 days 01:26:18.607000,26.8,61.0,1012.5,False,37.8,283,0.6
88,0 days 01:28:18.625000,26.8,61.0,1012.5,False,37.9,291,0.8
90,0 days 01:30:18.661000,26.5,61.0,1012.3,False,37.6,318,0.9
91,0 days 01:31:18.658000,26.6,61.0,1012.2,False,37.8,267,0.9
93,0 days 01:33:18.672000,26.8,60.0,1012.0,False,37.8,204,0.4
94,0 days 01:34:18.670000,26.8,59.0,1012.0,False,37.9,159,0.0
96,0 days 01:36:18.724000,26.8,59.0,1011.9,False,37.7,250,0.8
97,0 days 01:37:18.724000,26.8,60.0,1011.9,False,37.5,326,0.9
99,0 days 01:39:18.734000,26.6,60.0,1011.9,False,37.2,314,0.8
100,0 days 01:40:18.754000,26.6,59.0,1011.8,False,37.0,323,1.3
102,0 days 01:42:18.785000,26.6,60.0,1012.0,False,36.6,293,1.4
104,0 days 01:44:18.780000,26.6,61.0,1011.9,True,36.4,315,1.0
106,0 days 01:46:18.787000,26.5,60.0,1012.2,False,36.0,324,1.1
107,0 days 01:47:18.776000,26.5,60.0,1012.1,False,36.0,288,1.2
109,0 days 01:49:18.787000,26.4,60.0,1012.1,True,35.8,300,1.4
111,0 days 01:51:18.782000,26.2,61.0,1012.3,False,36.1,329,0.9
112,0 days 01:52:18.793000,26.2,61.0,1012.3,False,36.1,311,0.9
114,0 days 01:54:18.781000,26.1,62.0,1012.3,False,35.8,309,1.1
116,0 days 01:56:18.779000,26.1,62.0,1012.2,False,35.7,306,1.5
117,0 days 01:57:18.780000,26.1,62.0,1012.3,False,36.0,301,0.9
119,0 days 01:59:18.802000,26.2,63.0,1012.3,False,35.7,335,1.0
120,0 days 02:00:18.799000,26.2,63.0,1012.3,False,35.7,309,1.0
122,0 days 02:02:18.806000,26.2,64.0,1012.3,False,35.1,307,0.9
123,0 days 02:03:18.816000,26.1,64.0,1012.2,False,34.9,353,0.8
125,0 days 02:05:18.820000,26.0,65.0,1012.2,False,35.2,305,0.5
126,0 days 02:06:18.820000,26.0,64.0,1012.1,False,35.3,318,0.9
128,0 days 02:08:18.857000,26.0,63.0,1012.1,False,35.8,211,0.0
129,0 days 02:09:18.859000,26.0,64.0,1011.9,False,35.7,65,0.4
131,0 days 02:11:18.852000,26.1,64.0,1011.7,False,35.3,296,1.0
132,0 days 02:12:18.854000,26.0,64.0,1011.6,False,35.3,313,1.1
134,0 days 02:14:18.859000,26.1,64.0,1011.6,False,35.0,276,1.3
135,0 days 02:15:18.896000,26.0,65.0,1011.7,False,35.0,294,0.9
137,0 days 02:17:18.913000,26.0,64.0,1011.7,False,35.0,339,1.1
138,0 days 02:18:18.897000,26.0,64.0,1011.8,False,34.9,341,0.7
140,0 days 02:20:18.926000,26.0,64.0,1011.9,False,35.0,321,0.9
141,0 days 02:21:18.914000,26.0,64.0,1011.9,False,34.8,321,1.3
143,0 days 02:23:18.945000,25.9,64.0,1012.0,False,34.9,327,0.7
144,0 days 02:24:18.962000,25.9,64.0,1011.9,False,34.9,318,0.8
146,0 days 02:26:18.979000,26.0,64.0,1012.0,False,34.9,324,1.4
57,0 days 00:57:18.470000,26.3,65.0,1012.5,False,39.7,243,1.2
59,0 days 00:59:18.497000,26.4,64.0,1012.3,False,40.3,105,1.2
61,0 days 01:01:18.508000,26.7,63.0,1012.3,False,39.8,219,0.8
63,0 days 01:03:18.497000,26.6,63.0,1012.4,False,39.0,4,0.4
65,0 days 01:05:18.537000,26.4,64.0,1012.5,False,38.5,229,1.3
66,0 days 01:06:18.537000,26.4,64.0,1012.5,False,38.4,0,0.0
68,0 days 01:08:18.546000,26.6,64.0,1012.5,False,38.9,346,0.8
69,0 days 01:09:18.559000,26.6,63.0,1012.6,False,38.9,0,0.7
71,0 days 01:11:18.549000,26.7,62.0,1012.4,False,38.9,302,1.0
72,0 days 01:12:18.545000,26.7,61.0,1012.6,False,39.0,40,1.0
74,0 days 01:14:18.550000,26.6,62.0,1012.6,False,38.5,338,1.3
75,0 days 01:15:18.552000,26.6,62.0,1012.6,False,38.5,95,1.1
77,0 days 01:17:18.569000,26.8,62.0,1012.5,False,38.2,296,0.5
79,0 days 01:19:18.577000,26.6,62.0,1012.4,False,38.1,270,1.4
80,0 days 01:20:18.623000,26.6,63.0,1012.4,False,37.6,235,0.8
82,0 days 01:22:18.622000,26.5,63.0,1012.3,False,37.7,282,0.6
83,0 days 01:23:18.618000,26.6,62.0,1012.5,False,37.7,306,0.6
85,0 days 01:25:18.619000,26.7,63.0,1012.5,False,37.6,247,0.7
86,0 days 01:26:18.607000,26.8,61.0,1012.5,False,37.8,283,0.6
88,0 days 01:28:18.625000,26.8,61.0,1012.5,False,37.9,291,0.8
89,0 days 01:29:18.636000,26.6,61.0,1012.3,False,37.6,306,0.6
91,0 days 01:31:18.658000,26.6,61.0,1012.2,False,37.8,267,0.9
92,0 days 01:32:18.651000,26.7,61.0,1012.1,False,37.8,266,0.7
94,0 days 01:34:18.670000,26.8,59.0,1012.0,False,37.9,159,0.0
96,0 days 01:36:18.724000,26.8,59.0,1011.9,False,37.7,250,0.8
97,0 days 01:37:18.724000,26.8,60.0,1011.9,False,37.5,326,0.9
99,0 days 01:39:18.734000,26.6,60.0,1011.9,False,37.2,314,0.8
100,0 days 01:40:18.754000,26.6,59.0,1011.8,False,37.0,323,1.3
102,0 days 01:42:18.785000,26.6,60.0,1012.0,False,36.6,293,1.4
104,0 days 01:44:18.780000,26.6,61.0,1011.9,True,36.4,315,1.0
106,0 days 01:46:18.787000,26.5,60.0,1012.2,False,36.0,324,1.1
107,0 days 01:47:18.776000,26.5,60.0,1012.1,False,36.0,288,1.2
109,0 days 01:49:18.787000,26.4,60.0,1012.1,True,35.8,300,1.4
111,0 days 01:51:18.782000,26.2,61.0,1012.3,False,36.1,329,0.9
112,0 days 01:52:18.793000,26.2,61.0,1012.3,False,36.1,311,0.9
114,0 days 01:54:18.781000,26.1,62.0,1012.3,False,35.8,309,1.1
115,0 days 01:55:18.790000,26.1,63.0,1012.2,False,35.5,309,1.8
117,0 days 01:57:18.780000,26.1,62.0,1012.3,False,36.0,301,0.9
118,0 days 01:58:18.802000,26.2,62.0,1012.3,False,36.0,301,0.9
120,0 days 02:00:18.799000,26.2,63.0,1012.3,False,35.7,309,1.0
121,0 days 02:01:18.802000,26.2,63.0,1012.4,False,35.5,351,1.2
123,0 days 02:03:18.816000,26.1,64.0,1012.2,False,34.9,353,0.8
124,0 days 02:04:18.823000,26.1,64.0,1012.2,False,34.9,345,0.0
126,0 days 02:06:18.820000,26.0,64.0,1012.1,False,35.3,318,0.9
127,0 days 02:07:18.844000,26.0,64.0,1012.1,False,35.6,0,0.6
129,0 days 02:09:18.859000,26.0,64.0,1011.9,False,35.7,65,0.4
130,0 days 02:10:18.844000,26.0,64.0,1011.7,False,35.4,5,0.8
132,0 days 02:12:18.854000,26.0,64.0,1011.6,False,35.3,313,1.1
134,0 days 02:14:18.859000,26.1,64.0,1011.6,False,35.0,276,1.3
135,0 days 02:15:18.896000,26.0,65.0,1011.7,False,35.0,294,0.9
137,0 days 02:17:18.913000,26.0,64.0,1011.7,False,35.0,339,1.1
138,0 days 02:18:18.897000,26.0,64.0,1011.8,False,34.9,341,0.7
140,0 days 02:20:18.926000,26.0,64.0,1011.9,False,35.0,321,0.9
141,0 days 02:21:18.914000,26.0,64.0,1011.9,False,34.8,321,1.3
143,0 days 02:23:18.945000,25.9,64.0,1012.0,False,34.9,327,0.7
144,0 days 02:24:18.962000,25.9,64.0,1011.9,False,34.9,318,0.8
146,0 days 02:26:18.979000,26.0,64.0,1012.0,False,34.9,324,1.4
57,0 days 00:57:18.470000,26.3,65.0,1012.5,False,39.7,243,1.2
59,0 days 00:59:18.497000,26.4,64.0,1012.3,False,40.3,105,1.2
61,0 days 01:01:18.508000,26.7,63.0,1012.3,False,39.8,219,0.8
63,0 days 01:03:18.497000,26.6,63.0,1012.4,False,39.0,4,0.4
65,0 days 01:05:18.537000,26.4,64.0,1012.5,False,38.5,229,1.3
66,0 days 01:06:18.537000,26.4,64.0,1012.5,False,38.4,0,0.0
68,0 days 01:08:18.546000,26.6,64.0,1012.5,False,38.9,346,0.8
69,0 days 01:09:18.559000,26.6,63.0,1012.6,False,38.9,0,0.7
71,0 days 01:11:18.549000,26.7,62.0,1012.4,False,38.9,302,1.0
73,0 days 01:13:18.544000,26.7,62.0,1012.6,False,38.9,324,1.4
74,0 days 01:14:18.550000,26.6,62.0,1012.6,False,38.5,338,1.3
76,0 days 01:16:18.541000,26.6,62.0,1012.5,False,38.4,356,1.1
77,0 days 01:17:18.569000,26.8,62.0,1012.5,False,38.2,296,0.5
79,0 days 01:19:18.577000,26.6,62.0,1012.4,False,38.1,270,1.4
80,0 days 01:20:18.623000,26.6,63.0,1012.4,False,37.6,235,0.8
82,0 days 01:22:18.622000,26.5,63.0,1012.3,False,37.7,282,0.6
83,0 days 01:23:18.618000,26.6,62.0,1012.5,False,37.7,306,0.6
85,0 days 01:25:18.619000,26.7,63.0,1012.5,False,37.6,247,0.7
87,0 days 01:27:18.618000,26.8,61.0,1012.4,False,38.0,343,0.7
88,0 days 01:28:18.625000,26.8,61.0,1012.5,False,37.9,291,0.8
90,0 days 01:30:18.661000,26.5,61.0,1012.3,False,37.6,318,0.9
91,0 days 01:31:18.658000,26.6,61.0,1012.2,False,37.8,267,0.9
93,0 days 01:33:18.672000,26.8,60.0,1012.0,False,37.8,204,0.4
94,0 days 01:34:18.670000,26.8,59.0,1012.0,False,37.9,159,0.0
96,0 days 01:36:18.724000,26.8,59.0,1011.9,False,37.7,250,0.8
97,0 days 01:37:18.724000,26.8,60.0,1011.9,False,37.5,326,0.9
99,0 days 01:39:18.734000,26.6,60.0,1011.9,False,37.2,314,0.8
101,0 days 01:41:18.763000,26.6,59.0,1011.8,False,36.9,316,1.7
102,0 days 01:42:18.785000,26.6,60.0,1012.0,False,36.6,293,1.4
104,0 days 01:44:18.780000,26.6,61.0,1011.9,True,36.4,315,1.0
106,0 days 01:46:18.787000,26.5,60.0,1012.2,False,36.0,324,1.1
107,0 days 01:47:18.776000,26.5,60.0,1012.1,False,36.0,288,1.2
109,0 days 01:49:18.787000,26.4,60.0,1012.1,True,35.8,300,1.4
111,0 days 01:51:18.782000,26.2,61.0,1012.3,False,36.1,329,0.9
112,0 days 01:52:18.793000,26.2,61.0,1012.3,False,36.1,311,0.9
114,0 days 01:54:18.781000,26.1,62.0,1012.3,False,35.8,309,1.1
116,0 days 01:56:18.779000,26.1,62.0,1012.2,False,35.7,306,1.5
117,0 days 01:57:18.780000,26.1,62.0,1012.3,False,36.0,301,0.9
119,0 days 01:59:18.802000,26.2,63.0,1012.3,False,35.7,335,1.0
120,0 days 02:00:18.799000,26.2,63.0,1012.3,False,35.7,309,1.0
122,0 days 02:02:18.806000,26.2,64.0,1012.3,False,35.1,307,0.9
123,0 days 02:03:18.816000,26.1,64.0,1012.2,False,34.9,353,0.8
125,0 days 02:05:18.820000,26.0,65.0,1012.2,False,35.2,305,0.5
127,0 days 02:07:18.844000,26.0,64.0,1012.1,False,35.6,0,0.6
128,0 days 02:08:18.857000,26.0,63.0,1012.1,False,35.8,211,0.0
130,0 days 02:10:18.844000,26.0,64.0,1011.7,False,35.4,5,0.8
131,0 days 02:11:18.852000,26.1,64.0,1011.7,False,35.3,296,1.0
133,0 days 02:13:18.867000,26.0,64.0,1011.7,False,35.3,291,1.1
134,0 days 02:14:18.859000,26.1,64.0,1011.6,False,35.0,276,1.3
136,0 days 02:16:18.887000,26.0,64.0,1011.7,False,35.1,317,0.5
137,0 days 02:17:18.913000,26.0,64.0,1011.7,False,35.0,339,1.1
139,0 days 02:19:18.907000,25.9,64.0,1011.8,False,34.9,346,1.0
140,0 days 02:20:18.926000,26.0,64.0,1011.9,False,35.0,321,0.9
142,0 days 02:22:18.936000,25.9,64.0,1011.9,False,34.9,0,1.1
143,0 days 02:23:18.945000,25.9,64.0,1012.0,False,34.9,327,0.7
145,0 days 02:25:18.977000,26.0,64.0,1012.0,False,34.9,329,0.9
57,0 days 00:57:18.470000,26.3,65.0,1012.5,False,39.7,243,1.2
59,0 days 00:59:18.497000,26.4,64.0,1012.3,False,40.3,105,1.2
61,0 days 01:01:18.508000,26.7,63.0,1012.3,False,39.8,219,0.8
63,0 days 01:03:18.497000,26.6,63.0,1012.4,False,39.0,4,0.4
65,0 days 01:05:18.537000,26.4,64.0,1012.5,False,38.5,229,1.3
67,0 days 01:07:18.541000,26.5,65.0,1012.6,False,38.5,355,1.0
68,0 days 01:08:18.546000,26.6,64.0,1012.5,False,38.9,346,0.8
70,0 days 01:10:18.561000,26.6,63.0,1012.5,False,38.9,189,0.9
71,0 days 01:11:18.549000,26.7,62.0,1012.4,False,38.9,302,1.0
73,0 days 01:13:18.544000,26.7,62.0,1012.6,False,38.9,324,1.4
74,0 days 01:14:18.550000,26.6,62.0,1012.6,False,38.5,338,1.3
76,0 days 01:16:18.541000,26.6,62.0,1012.5,False,38.4,356,1.1
77,0 days 01:17:18.569000,26.8,62.0,1012.5,False,38.2,296,0.5
79,0 days 01:19:18.577000,26.6,62.0,1012.4,False,38.1,270,1.4
81,0 days 01:21:18.616000,26.5,63.0,1012.4,False,37.6,193,0.8
82,0 days 01:22:18.622000,26.5,63.0,1012.3,False,37.7,282,0.6
84,0 days 01:24:18.608000,26.5,63.0,1012.4,False,37.6,332,0.7
85,0 days 01:25:18.619000,26.7,63.0,1012.5,False,37.6,247,0.7
87,0 days 01:27:18.618000,26.8,61.0,1012.4,False,38.0,343,0.7
89,0 days 01:29:18.636000,26.6,61.0,1012.3,False,37.6,306,0.6
90,0 days 01:30:18.661000,26.5,61.0,1012.3,False,37.6,318,0.9
92,0 days 01:32:18.651000,26.7,61.0,1012.1,False,37.8,266,0.7
93,0 days 01:33:18.672000,26.8,60.0,1012.0,False,37.8,204,0.4
95,0 days 01:35:18.715000,26.8,59.0,1012.0,False,37.7,259,0.8
96,0 days 01:36:18.724000,26.8,59.0,1011.9,False,37.7,250,0.8
98,0 days 01:38:18.741000,26.7,60.0,1011.9,False,37.3,336,0.8
100,0 days 01:40:18.754000,26.6,59.0,1011.8,False,37.0,323,1.3
101,0 days 01:41:18.763000,26.6,59.0,1011.8,False,36.9,316,1.7
103,0 days 01:43:18.758000,26.6,61.0,1012.0,True,36.4,302,0.9
105,0 days 01:45:18.790000,26.5,60.0,1011.9,True,36.4,331,1.0
107,0 days 01:47:18.776000,26.5,60.0,1012.1,False,36.0,288,1.2
108,0 days 01:48:18.776000,26.4,59.0,1012.2,True,36.4,335,0.7
110,0 days 01:50:18.781000,26.3,61.0,1012.3,False,35.5,300,1.1
112,0 days 01:52:18.793000,26.2,61.0,1012.3,False,36.1,311,0.9
113,0 days 01:53:18.801000,26.1,61.0,1012.3,False,35.9,322,1.2
115,0 days 01:55:18.790000,26.1,63.0,1012.2,False,35.5,309,1.8
57,0 days 00:57:18.470000,26.3,65.0,1012.5,False,39.7,243,1.2
59,0 days 00:59:18.497000,26.4,64.0,1012.3,False,40.3,105,1.2
61,0 days 01:01:18.508000,26.7,63.0,1012.3,False,39.8,219,0.8
63,0 days 01:03:18.497000,26.6,63.0,1012.4,False,39.0,4,0.4
65,0 days 01:05:18.537000,26.4,64.0,1012.5,False,38.5,229,1.3
66,0 days 01:06:18.537000,26.4,64.0,1012.5,False,38.4,0,0.0
68,0 days 01:08:18.546000,26.6,64.0,1012.5,False,38.9,346,0.8
69,0 days 01:09:18.559000,26.6,63.0,1012.6,False,38.9,0,0.7
71,0 days 01:11:18.549000,26.7,62.0,1012.4,False,38.9,302,1.0
72,0 days 01:12:18.545000,26.7,61.0,1012.6,False,39.0,40,1.0
74,0 days 01:14:18.550000,26.6,62.0,1012.6,False,38.5,338,1.3
76,0 days 01:16:18.541000,26.6,62.0,1012.5,False,38.4,356,1.1
77,0 days 01:17:18.569000,26.8,62.0,1012.5,False,38.2,296,0.5
79,0 days 01:19:18.577000,26.6,62.0,1012.4,False,38.1,270,1.4
80,0 days 01:20:18.623000,26.6,63.0,1012.4,False,37.6,235,0.8
82,0 days 01:22:18.622000,26.5,63.0,1012.3,False,37.7,282,0.6
83,0 days 01:23:18.618000,26.6,62.0,1012.5,False,37.7,306,0.6
85,0 days 01:25:18.619000,26.7,63.0,1012.5,False,37.6,247,0.7
86,0 days 01:26:18.607000,26.8,61.0,1012.5,False,37.8,283,0.6
88,0 days 01:28:18.625000,26.8,61.0,1012.5,False,37.9,291,0.8
90,0 days 01:30:18.661000,26.5,61.0,1012.3,False,37.6,318,0.9
91,0 days 01:31:18.658000,26.6,61.0,1012.2,False,37.8,267,0.9
93,0 days 01:33:18.672000,26.8,60.0,1012.0,False,37.8,204,0.4
94,0 days 01:34:18.670000,26.8,59.0,1012.0,False,37.9,159,0.0
96,0 days 01:36:18.724000,26.8,59.0,1011.9,False,37.7,250,0.8
98,0 days 01:38:18.741000,26.7,60.0,1011.9,False,37.3,336,0.8
99,0 days 01:39:18.734000,26.6,60.0,1011.9,False,37.2,314,0.8
101,0 days 01:41:18.763000,26.6,59.0,1011.8,False,36.9,316,1.7
102,0 days 01:42:18.785000,26.6,60.0,1012.0,False,36.6,293,1.4
104,0 days 01:44:18.780000,26.6,61.0,1011.9,True,36.4,315,1.0
106,0 days 01:46:18.787000,26.5,60.0,1012.2,False,36.0,324,1.1
107,0 days 01:47:18.776000,26.5,60.0,1012.1,False,36.0,288,1.2
109,0 days 01:49:18.787000,26.4,60.0,1012.1,True,35.8,300,1.4
111,0 days 01:51:18.782000,26.2,61.0,1012.3,False,36.1,329,0.9
113,0 days 01:53:18.801000,26.1,61.0,1012.3,False,35.9,322,1.2
114,0 days 01:54:18.781000,26.1,62.0,1012.3,False,35.8,309,1.1
116,0 days 01:56:18.779000,26.1,62.0,1012.2,False,35.7,306,1.5
117,0 days 01:57:18.780000,26.1,62.0,1012.3,False,36.0,301,0.9
119,0 days 01:59:18.802000,26.2,63.0,1012.3,False,35.7,335,1.0
120,0 days 02:00:18.799000,26.2,63.0,1012.3,False,35.7,309,1.0
122,0 days 02:02:18.806000,26.2,64.0,1012.3,False,35.1,307,0.9
123,0 days 02:03:18.816000,26.1,64.0,1012.2,False,34.9,353,0.8
125,0 days 02:05:18.820000,26.0,65.0,1012.2,False,35.2,305,0.5
126,0 days 02:06:18.820000,26.0,64.0,1012.1,False,35.3,318,0.9
128,0 days 02:08:18.857000,26.0,63.0,1012.1,False,35.8,211,0.0
129,0 days 02:09:18.859000,26.0,64.0,1011.9,False,35.7,65,0.4
131,0 days 02:11:18.852000,26.1,64.0,1011.7,False,35.3,296,1.0
132,0 days 02:12:18.854000,26.0,64.0,1011.6,False,35.3,313,1.1
134,0 days 02:14:18.859000,26.1,64.0,1011.6,False,35.0,276,1.3
135,0 days 02:15:18.896000,26.0,65.0,1011.7,False,35.0,294,0.9
137,0 days 02:17:18.913000,26.0,64.0,1011.7,False,35.0,339,1.1
138,0 days 02:18:18.897000,26.0,64.0,1011.8,False,34.9,341,0.7
140,0 days 02:20:18.926000,26.0,64.0,1011.9,False,35.0,321,0.9
142,0 days 02:22:18.936000,25.9,64.0,1011.9,False,34.9,0,1.1
143,0 days 02:23:18.945000,25.9,64.0,1012.0,False,34.9,327,0.7
145,0 days 02:25:18.977000,26.0,64.0,1012.0,False,34.9,329,0.9
146,0 days 02:26:18.979000,26.0,64.0,1012.0,False,34.9,324,1.4
57,0 days 00:57:18.470000,26.3,65.0,1012.5,False,39.7,243,1.2
59,0 days 00:59:18.497000,26.4,64.0,1012.3,False,40.3,105,1.2
61,0 days 01:01:18.508000,26.7,63.0,1012.3,False,39.8,219,0.8
63,0 days 01:03:18.497000,26.6,63.0,1012.4,False,39.0,4,0.4
65,0 days 01:05:18.537000,26.4,64.0,1012.5,False,38.5,229,1.3
66,0 days 01:06:18.537000,26.4,64.0,1012.5,False,38.4,0,0.0
68,0 days 01:08:18.546000,26.6,64.0,1012.5,False,38.9,346,0.8
69,0 days 01:09:18.559000,26.6,63.0,1012.6,False,38.9,0,0.7
71,0 days 01:11:18.549000,26.7,62.0,1012.4,False,38.9,302,1.0
72,0 days 01:12:18.545000,26.7,61.0,1012.6,False,39.0,40,1.0
74,0 days 01:14:18.550000,26.6,62.0,1012.6,False,38.5,338,1.3
75,0 days 01:15:18.552000,26.6,62.0,1012.6,False,38.5,95,1.1
77,0 days 01:17:18.569000,26.8,62.0,1012.5,False,38.2,296,0.5
78,0 days 01:18:18.567000,26.7,62.0,1012.5,False,38.2,28,1.4
80,0 days 01:20:18.623000,26.6,63.0,1012.4,False,37.6,235,0.8
82,0 days 01:22:18.622000,26.5,63.0,1012.3,False,37.7,282,0.6
83,0 days 01:23:18.618000,26.6,62.0,1012.5,False,37.7,306,0.6
85,0 days 01:25:18.619000,26.7,63.0,1012.5,False,37.6,247,0.7
86,0 days 01:26:18.607000,26.8,61.0,1012.5,False,37.8,283,0.6
88,0 days 01:28:18.625000,26.8,61.0,1012.5,False,37.9,291,0.8
89,0 days 01:29:18.636000,26.6,61.0,1012.3,False,37.6,306,0.6
91,0 days 01:31:18.658000,26.6,61.0,1012.2,False,37.8,267,0.9
92,0 days 01:32:18.651000,26.7,61.0,1012.1,False,37.8,266,0.7
94,0 days 01:34:18.670000,26.8,59.0,1012.0,False,37.9,159,0.0
95,0 days 01:35:18.715000,26.8,59.0,1012.0,False,37.7,259,0.8
97,0 days 01:37:18.724000,26.8,60.0,1011.9,False,37.5,326,0.9
98,0 days 01:38:18.741000,26.7,60.0,1011.9,False,37.3,336,0.8
100,0 days 01:40:18.754000,26.6,59.0,1011.8,False,37.0,323,1.3
101,0 days 01:41:18.763000,26.6,59.0,1011.8,False,36.9,316,1.7
103,0 days 01:43:18.758000,26.6,61.0,1012.0,True,36.4,302,0.9
105,0 days 01:45:18.790000,26.5,60.0,1011.9,True,36.4,331,1.0
107,0 days 01:47:18.776000,26.5,60.0,1012.1,False,36.0,288,1.2
108,0 days 01:48:18.776000,26.4,59.0,1012.2,True,36.4,335,0.7
110,0 days 01:50:18.781000,26.3,61.0,1012.3,False,35.5,300,1.1
112,0 days 01:52:18.793000,26.2,61.0,1012.3,False,36.1,311,0.9
113,0 days 01:53:18.801000,26.1,61.0,1012.3,False,35.9,322,1.2
115,0 days 01:55:18.790000,26.1,63.0,1012.2,False,35.5,309,1.8
116,0 days 01:56:18.779000,26.1,62.0,1012.2,False,35.7,306,1.5
118,0 days 01:58:18.802000,26.2,62.0,1012.3,False,36.0,301,0.9
119,0 days 01:59:18.802000,26.2,63.0,1012.3,False,35.7,335,1.0
121,0 days 02:01:18.802000,26.2,63.0,1012.4,False,35.5,351,1.2
122,0 days 02:02:18.806000,26.2,64.0,1012.3,False,35.1,307,0.9
124,0 days 02:04:18.823000,26.1,64.0,1012.2,False,34.9,345,0.0
125,0 days 02:05:18.820000,26.0,65.0,1012.2,False,35.2,305,0.5
127,0 days 02:07:18.844000,26.0,64.0,1012.1,False,35.6,0,0.6
128,0 days 02:08:18.857000,26.0,63.0,1012.1,False,35.8,211,0.0
130,0 days 02:10:18.844000,26.0,64.0,1011.7,False,35.4,5,0.8
131,0 days 02:11:18.852000,26.1,64.0,1011.7,False,35.3,296,1.0
133,0 days 02:13:18.867000,26.0,64.0,1011.7,False,35.3,291,1.1
134,0 days 02:14:18.859000,26.1,64.0,1011.6,False,35.0,276,1.3
136,0 days 02:16:18.887000,26.0,64.0,1011.7,False,35.1,317,0.5
137,0 days 02:17:18.913000,26.0,64.0,1011.7,False,35.0,339,1.1
139,0 days 02:19:18.907000,25.9,64.0,1011.8,False,34.9,346,1.0
140,0 days 02:20:18.926000,26.0,64.0,1011.9,False,35.0,321,0.9
142,0 days 02:22:18.936000,25.9,64.0,1011.9,False,34.9,0,1.1
143,0 days 02:23:18.945000,25.9,64.0,1012.0,False,34.9,327,0.7
145,0 days 02:25:18.977000,26.0,64.0,1012.0,False,34.9,329,0.9
57,0 days 00:57:18.470000,26.3,65.0,1012.5,False,39.7,243,1.2
59,0 days 00:59:18.497000,26.4,64.0,1012.3,False,40.3,105,1.2
61,0 days 01:01:18.508000,26.7,63.0,1012.3,False,39.8,219,0.8
63,0 days 01:03:18.497000,26.6,63.0,1012.4,False,39.0,4,0.4
65,0 days 01:05:18.537000,26.4,64.0,1012.5,False,38.5,229,1.3
66,0 days 01:06:18.537000,26.4,64.0,1012.5,False,38.4,0,0.0
68,0 days 01:08:18.546000,26.6,64.0,1012.5,False,38.9,346,0.8
69,0 days 01:09:18.559000,26.6,63.0,1012.6,False,38.9,0,0.7
71,0 days 01:11:18.549000,26.7,62.0,1012.4,False,38.9,302,1.0
72,0 days 01:12:18.545000,26.7,61.0,1012.6,False,39.0,40,1.0
74,0 days 01:14:18.550000,26.6,62.0,1012.6,False,38.5,338,1.3
76,0 days 01:16:18.541000,26.6,62.0,1012.5,False,38.4,356,1.1
77,0 days 01:17:18.569000,26.8,62.0,1012.5,False,38.2,296,0.5
79,0 days 01:19:18.577000,26.6,62.0,1012.4,False,38.1,270,1.4
80,0 days 01:20:18.623000,26.6,63.0,1012.4,False,37.6,235,0.8
82,0 days 01:22:18.622000,26.5,63.0,1012.3,False,37.7,282,0.6
83,0 days 01:23:18.618000,26.6,62.0,1012.5,False,37.7,306,0.6
85,0 days 01:25:18.619000,26.7,63.0,1012.5,False,37.6,247,0.7
86,0 days 01:26:18.607000,26.8,61.0,1012.5,False,37.8,283,0.6
88,0 days 01:28:18.625000,26.8,61.0,1012.5,False,37.9,291,0.8
90,0 days 01:30:18.661000,26.5,61.0,1012.3,False,37.6,318,0.9
91,0 days 01:31:18.658000,26.6,61.0,1012.2,False,37.8,267,0.9
93,0 days 01:33:18.672000,26.8,60.0,1012.0,False,37.8,204,0.4
94,0 days 01:34:18.670000,26.8,59.0,1012.0,False,37.9,159,0.0
96,0 days 01:36:18.724000,26.8,59.0,1011.9,False,37.7,250,0.8
97,0 days 01:37:18.724000,26.8,60.0,1011.9,False,37.5,326,0.9
99,0 days 01:39:18.734000,26.6,60.0,1011.9,False,37.2,314,0.8
100,0 days 01:40:18.754000,26.6,59.0,1011.8,False,37.0,323,1.3
102,0 days 01:42:18.785000,26.6,60.0,1012.0,False,36.6,293,1.4
104,0 days 01:44:18.780000,26.6,61.0,1011.9,True,36.4,315,1.0
